103 CÂU HỎI ĐIỀU TRA CỐT LÕI VỀ DI TÍCH
Định hướng khám phá – giáo dục lịch sử, văn hóa và trách nhiệm bảo tồn cho học sinh
Mỗi di tích được thiết kế một câu hỏi điều tra cốt lõi theo hướng không chỉ yêu cầu học sinh nhớ dữ kiện, mà khuyến khích tìm bằng chứng, giải thích ý nghĩa, liên hệ với hiện tại và hình thành trách nhiệm bảo vệ di sản.
STT
	DI TÍCH
	CÂU HỎI ĐIỀU TRA CỐT LÕI
	1
	DINH ĐỘC LẬP
	Dinh Độc Lập đã chứng kiến những bước ngoặt nào của lịch sử Việt Nam hiện đại, và từ đó em có thể rút ra bài học gì về giá trị của độc lập, hòa bình và thống nhất đất nước?
	2
	ĐỊA ĐẠO CỦ CHI
	Địa đạo Củ Chi đã giúp quân dân địa phương thích nghi và tồn tại như thế nào trong điều kiện chiến tranh khốc liệt, và điều đó dạy học sinh hôm nay bài học gì về ý chí, sáng tạo và sức mạnh cộng đồng?
	3
	Đường Hồ Chí Minh trên biển và Bến Lộc An
	Đường Hồ Chí Minh trên biển và Bến Lộc An cho thấy sự phối hợp giữa thủy thủ, bộ đội và nhân dân địa phương có vai trò như thế nào trong việc vượt qua hiểm nguy để bảo đảm hậu cần cho chiến trường?
	4
	NHÀ TÙ CÔN ĐẢO
	Lịch sử Nhà tù Côn Đảo cho thấy những người bị giam cầm đã giữ vững phẩm chất và niềm tin như thế nào, và thế hệ trẻ hôm nay cần làm gì để trân trọng tự do, hòa bình?
	5
	Bình Giã
	Chiến thắng Bình Giã cho thấy vai trò của việc tạo thế, phối hợp lực lượng và dựa vào nhân dân như thế nào, và bài học ấy có ý nghĩa gì đối với tinh thần hợp tác của học sinh hôm nay?
	6
	MINH ĐẠM
	Căn cứ Minh Đạm cho thấy địa hình tự nhiên và sự che chở của nhân dân đã góp phần như thế nào vào việc xây dựng căn cứ cách mạng, và em học được gì về sức mạnh của lòng dân?
	7
	CĂN CỨ RỪNG SÁC
	Căn cứ Rừng Sác đã biến một vùng rừng ngập mặn hiểm trở thành căn cứ chiến đấu như thế nào, và điều đó gợi cho học sinh bài học gì về khả năng thích nghi với môi trường và bảo vệ thiên nhiên?
	8
	CHIẾN KHU Đ
	Chiến khu Đ đã duy trì vai trò căn cứ địa qua nhiều giai đoạn kháng chiến như thế nào, và sự bền bỉ ấy giúp em hiểu gì về tầm quan trọng của một hậu phương vững chắc?
	9
	ĐỊA ĐẠO KIM LONG
	Địa đạo Kim Long phản ánh sự sáng tạo của nhân dân trong việc xây dựng và bảo vệ căn cứ như thế nào, và bài học nào về tinh thần chủ động có thể áp dụng vào cuộc sống học tập?
	10
	ĐỊA ĐẠO PHÚ THỌ HÒA
	Địa đạo Phú Thọ Hòa cho thấy một hệ thống hầm bí mật có thể hỗ trợ chiến đấu và bảo toàn lực lượng ra sao, và em rút ra bài học gì về sự kiên trì trước hoàn cảnh khó khăn?
	11
	ĐỊA ĐẠO TÂY NAM BẾN CÁT – “TAM GIÁC SẮT”
	Địa đạo Tây Nam Bến Cát – “Tam giác sắt” cho thấy sự gắn bó giữa địa đạo, lực lượng chiến đấu và nhân dân như thế nào, và điều đó có ý nghĩa gì đối với tinh thần đoàn kết hôm nay?
	12
	ĐỊA ĐIỂM LƯU NIỆM CHỦ TỊCH TÔN ĐỨC THẮNG TẠI KHU VỰC BA SON
	Địa điểm lưu niệm Chủ tịch Tôn Đức Thắng tại khu vực Ba Son giúp em hiểu như thế nào về mối liên hệ giữa người lao động, quá trình học nghề và con đường hoạt động cách mạng?
	13
	HẦM BÍ MẬT CHỨA VŨ KHÍ THỜI KHÁNG CHIẾN CHỐNG MỸ
	Hầm bí mật chứa vũ khí cho thấy những gia đình và cơ sở cách mạng đã chấp nhận nguy hiểm để bảo vệ lực lượng như thế nào, và bài học về trách nhiệm với cộng đồng có ý nghĩa gì với học sinh?
	14
	KHU TRẠI GIAM BỆNH VIỆN CHỢ QUÁN – NƠI ĐỒNG CHÍ TRẦN PHÚ HY SINH
	Khu trại giam Bệnh viện Chợ Quán – nơi đồng chí Trần Phú hy sinh cho thấy sự khắc nghiệt của chế độ giam cầm và phẩm chất của người chiến sĩ như thế nào, qua đó em hiểu gì về giá trị của lý tưởng?
	15
	Di tích lịch sử quốc gia Ngã Ba Giồng
	Di tích Ngã Ba Giồng giúp em nhận thức như thế nào về sự hy sinh của những người tham gia Nam Kỳ khởi nghĩa và trách nhiệm của thế hệ trẻ trong việc ghi nhớ lịch sử?
	16
	Nhà lưu niệm Anh hùng liệt sĩ Võ Thị Sáu
	Nhà lưu niệm Anh hùng liệt sĩ Võ Thị Sáu đặt ra câu hỏi gì về lòng dũng cảm, tuổi trẻ và sự hy sinh, và em có thể biến bài học ấy thành hành động cụ thể nào trong cuộc sống?
	17
	NHÀ TÙ PHÚ LỢI
	Nhà tù Phú Lợi phản ánh những gì về chế độ giam giữ và cuộc đấu tranh của tù nhân, và di tích giúp học sinh hiểu sâu hơn thế nào về giá trị của nhân phẩm và quyền được sống trong hòa bình?
	18
	Nơi đồng chí Nguyễn Tất Thành ở trước khi ra đi tìm đường cứu nước
	Nơi đồng chí Nguyễn Tất Thành ở trước khi ra đi tìm đường cứu nước cho thấy một bước ngoặt trong hành trình của người thanh niên Nguyễn Tất Thành như thế nào, và em học được gì về khát vọng tìm kiếm con đường cho tương lai?
	19
	NƠI THÀNH LẬP AN NAM CỘNG SẢN ĐẢNG NĂM 1929
	Nơi thành lập An Nam Cộng sản Đảng năm 1929 phản ánh nhu cầu tổ chức và định hướng phong trào cách mạng như thế nào, và di tích giúp học sinh hiểu gì về vai trò của lý tưởng và tổ chức?
	20
	ĐỊA ĐIỂM SỞ CHỈ HUY TIỀN PHƯƠNG CHIẾN DỊCH HỒ CHÍ MINH
	Sở Chỉ huy Tiền phương Chiến dịch Hồ Chí Minh cho thấy việc tổ chức, chỉ huy và phối hợp lực lượng có ý nghĩa như thế nào đối với thắng lợi của một chiến dịch lớn?
	21
	DI TÍCH KHẢO CỔ CÙ LAO RÙA
	Các dấu tích cư trú, mộ táng và hiện vật ở Cù Lao Rùa cho phép em hình dung đời sống vật chất và tinh thần của cư dân cổ như thế nào, và vì sao cần bảo vệ những bằng chứng khảo cổ ấy?
	22
	DI TÍCH KHẢO CỔ DỐC CHÙA
	Các khu mộ táng, khuôn đúc và hiện vật đồng ở Dốc Chùa cho thấy trình độ kỹ thuật và sự phân hóa xã hội của cư dân thời đại kim khí như thế nào?
	23
	DI TÍCH KHẢO CỔ GIỒNG CÁ VỒ
	Hệ thống mộ chum và hiện vật ở Giồng Cá Vồ cho thấy cư dân ven biển Nam Bộ xưa đã thích nghi với môi trường và giao lưu văn hóa như thế nào?
	24
	LÒ GỐM CỔ HƯNG LỢI
	Lò gốm cổ Hưng Lợi giúp em tìm hiểu như thế nào về kỹ thuật sản xuất, đời sống kinh tế và quá trình hình thành đô thị Sài Gòn – Gia Định, đồng thời gợi ra trách nhiệm gì trong việc bảo vệ di sản khảo cổ?
	25
	ĂNGTEN PARABOL (ĐÀI VIBA) – NÚI LỚN
	Ăngten Parabol (Đài Viba) – N��i Lớn cho thấy hệ thống thông tin liên lạc từng giữ vai trò gì trong lịch sử hiện đại của địa phương, và vì sao những công trình kỹ thuật cũng cần được xem là di sản?
	26
	Bót Dây Thép – dấu tích tội ác chiến tranh ở Thủ Đức
	Bót Dây Thép giúp em nhận diện những dấu tích nào của chiến tranh và sự đàn áp, từ đó hiểu vì sao việc ghi nhớ quá khứ cần gắn với khát vọng hòa bình và bảo vệ con người?
	27
	Cơ sở Ban Tuyên huấn Xứ ủy Nam Bộ
	Cơ sở Ban Tuyên huấn Xứ ủy Nam Bộ cho thấy công tác tuyên truyền, thông tin và giáo dục tư tưởng đã góp phần như thế nào vào việc duy trì phong trào cách mạng?
	28
	Cơ sở giấu vũ khí của Biệt động Thành đánh Dinh Độc Lập năm 1968
	Cơ sở giấu vũ khí của Biệt động Thành đánh Dinh Độc Lập năm 1968 cho thấy yếu tố bí mật, tổ chức và sự hỗ trợ của cơ sở nhân dân có ý nghĩa như thế nào đối với một hoạt động đặc biệt nguy hiểm?
	29
	Cơ sở in ấn của Hội Ủng hộ Vệ quốc đoàn – Hầm B
